,VMag,Star_name,Bayer Designation,Distance,Spectral Class,Mass,Radius,Luminosity
70,6.57,mira,ο Ceti,0300,M7,1.2,370,"9,000"
35,1.80,mirfak,α Per,0590,F5,8.5,68,"5,000"
46,1.98,mirzam,β CMa,0500,B1,13.5,10,"27,000"
59,4.08,mu cephei,μ Cep,"06,000",M2,19.2,972,"135,000"
90,16.6,nml cygni,Cyg,"05,251",M6,50,"1,640 - 2,770","229,000"
62,4.82,p cygni,P Cyg,"05,545",B1,30,76,"610,000"
44,1.94,peacock,α Pav,0180,B3,5.9,4.8,"2,200"
77,8.3,pistol star,Sgr,"025,000",B3,100,320,"1,700,000"
47,1.98,polaris,α UMi,0430,F8,5.4,39,"2,500"
67,5.47,polaris australis,Oct,0281,F0,1.59,3.74,38
17,1.14,pollux,β Gem,0034,K0,1.9,8.8,43
8,0.34,procyon,α CMi,0011.4,F5,1.5,1.9,7.7
82,11.13,proxima centauri,Cen,04.25,M6,0.12,0.15,0.0017
68,5.71,r coronae borealis,Bor,"04,566",G0,0.85,85,"10,000"
66,5.4,r doradus,Dor,0178,M8,0.7 - 1.0,298,"4,350"
84,12.23,r136a1,Dor,"0163,000",WN5,290,32,"8,710,000"
55,3.74,ran,ε Eri,010.48,K2,0.82,0.74,0.34
52,3.35,rasalgethi,α Her,0360,M5,2.8,280,"8,300"
21,1.39,regulus,α Leo,0077,B7,3.8,3.1,290
61,4.1,rho cassiopeiae,ρ Cas,"08,154",G2,22,636-981,"347,000 - 530,000"
7,0.13,rigel,β Ori,0860,B8,23,78.9,"120,000"
71,6.65,rw cephei,Cep,"014,000",K2,13.9,"1,158","417,000"
78,8.6,s doradus,Dor,"0169,000",B8,24,380,"910,000"
37,1.84,sargas,θ Sco,0270,F0,5.7,26,"1,800"
50,2.42,scheat,β Peg,0196,M2.5,2.1,95,"1,500"
23,1.62,shaula,λ Sco,0700,B2,14.5,8.8,"36,000"
1,0.001−1.46,sirius,α CMa,0008.6,A1,2.1,1.71´,25.4
16,0.97,spica,α Vir,0260,B1,11.43,7.47,"20,512"
0,0.000−26.74,sun,,0.000015813,G2,1,1,1
53,3.50,tau ceti,τ Cet,011.9,G8,0.783,0.893,0.52
60,4.09,titawin,υ And,044.25,F8,1.27,1.48,3.57
93,18.80,trappist-1,Aqr,039.6,M8,0.089,0.12,0.0005
79,8.9,uy scuti,Sct,"05,100",M4,7–10,755,"86,300 - 87,100"
56,3.83,v382 carinae,Car,"08,900",G2,20,485,"212,000"
73,6.75,v838 monocerotis,Mon,"019,896",M6,?,380 - 750,"15,000"
91,17.30,vb 10,Aql,018.72,M8,0.075,0.10,0.0004
5,0.03,vega,α Lyr,0025,A0,2.2,2.7,50
87,14.38,vfts 352,Dor,"0164,000",O5,57.48,14.47,"330,000"
64,4.91,vv cephei,Cep,"04,900",M2,18.2,"516 - 1,050","200,000"
76,8.05,vy canis majoris,CMa,"03,900",M5,17,"1,420","178,000 - 270,000"
36,1.82,wezen,δ CMa,"1,600",F8,17,200,"82,000"
95,25,wise 0855−0714,Hya,07.27,Y2,0.003,?,?
92,18.46,woh g64,Dor,"0163,000",M5,<20,"1,540 - 1,730","340-589,000"
86,14.10,wr 102,Sag,"018,134",WO2,19,0.39,"282,000"
88,14.68,ybp 1194,Cnc,"02,772",G5,1.01,0.99,0.98
